,decade,school,counts,image_url
147,1750,oxford,1,http://farm4.staticflickr.com/3691/11219123776_334a6207e3_b.jpg
148,1750,london,1,http://farm4.staticflickr.com/3740/11219217203_cfde8ed287_b.jpg
149,1750,london,1,http://farm8.staticflickr.com/7364/11219099484_318c81ba97_b.jpg
150,1750,london,1,http://farm4.staticflickr.com/3726/11219218053_171e33f1ee_b.jpg
151,1750,london,1,http://farm6.staticflickr.com/5505/11219110765_afeb3dda6f_b.jpg
152,1750,london,1,http://farm3.staticflickr.com/2848/11219102245_a1cde03c0e_b.jpg
153,1750,london,1,http://farm4.staticflickr.com/3668/11219103925_a57289e9b6_b.jpg
154,1750,london,1,http://farm4.staticflickr.com/3700/11219226503_d15156ed13_b.jpg
155,1750,dublin,1,http://farm8.staticflickr.com/7352/11046695773_730f04830d_b.jpg
156,1750,london,1,http://farm4.staticflickr.com/3686/11219229253_44a6c59058_b.jpg
157,1750,london,1,http://farm6.staticflickr.com/5475/11219100984_12d39c1591_b.jpg
158,1750,london,1,http://farm8.staticflickr.com/7305/11219106504_e38f74e6c6_b.jpg
159,1750,london,1,http://farm4.staticflickr.com/3768/11219102834_36b15a2aee_b.jpg
160,1750,london,1,http://farm4.staticflickr.com/3829/11219102344_ae68974c42_b.jpg
161,1750,london,1,http://farm3.staticflickr.com/2811/11219112214_3d40d8232d_b.jpg
162,1750,london,1,http://farm4.staticflickr.com/3719/11219101524_55542e2336_b.jpg
163,1750,london,1,http://farm6.staticflickr.com/5516/11219107444_6baa5770a3_b.jpg
164,1750,dublin,1,http://farm6.staticflickr.com/5539/11046638064_42ef6dff71_b.jpg
165,1760,london,1,http://farm6.staticflickr.com/5543/11219130906_78d5c37a0e_b.jpg
166,1760,london,1,http://farm6.staticflickr.com/5478/11219132435_e7f72470ab_b.jpg
167,1760,london,1,http://farm4.staticflickr.com/3713/11219132296_d358c910e6_b.jpg
168,1760,j. & r. tonson,1,http://farm3.staticflickr.com/2880/11219120785_52b3f0fd67_b.jpg
169,1760,london,1,http://farm6.staticflickr.com/5525/11219115844_4ccd901d5b_b.jpg
170,1760,durham,1,http://farm6.staticflickr.com/5548/11219119895_ee5f6121e2_b.jpg
171,1760,london,1,http://farm6.staticflickr.com/5513/11219145466_6c81346945_b.jpg
172,1760,unknown,1,http://farm8.staticflickr.com/7325/11219128716_2e67a4ab7f_b.jpg
173,1760,london,1,http://farm3.staticflickr.com/2818/11219119064_051f698727_b.jpg
174,1760,j. & r. tonson,1,http://farm6.staticflickr.com/5519/11219122734_d96706e093_b.jpg
175,1760,london,1,http://farm4.staticflickr.com/3746/11219132585_eb20202028_b.jpg
176,1760,london],1,http://farm6.staticflickr.com/5476/11219123685_4fddf533c5_b.jpg
177,1760,cambridge,1,http://farm4.staticflickr.com/3692/11219127906_b0a989eb9e_b.jpg
178,1760,j. & r. tonson,1,http://farm3.staticflickr.com/2888/11219121615_026c7f0377_b.jpg
179,1760,london,1,http://farm6.staticflickr.com/5535/11219246873_2b3693052d_b.jpg
180,1760,york,1,http://farm6.staticflickr.com/5475/11219244203_2db361853b_b.jpg
181,1760,london,1,http://farm8.staticflickr.com/7318/11219132554_c0275a2189_b.jpg
182,1760,london,1,http://farm6.staticflickr.com/5546/11219147116_80ee7e2e38_b.jpg
183,1760,london,1,http://farm3.staticflickr.com/2869/11219128904_386cb251f9_b.jpg
184,1760,london,1,http://farm6.staticflickr.com/5490/11219130804_01f5f17483_b.jpg
185,1760,london,1,http://farm8.staticflickr.com/7310/11219128845_33ec12c86d_b.jpg
186,1760,london,1,http://farm4.staticflickr.com/3807/11219131566_66af77b201_b.jpg
187,1760,london],1,http://farm8.staticflickr.com/7329/11219240923_1a43503182_b.jpg
188,1760,j. & r. tonson,1,http://farm3.staticflickr.com/2808/11219123204_9c99d3a2f2_b.jpg
189,1760,london,1,http://farm8.staticflickr.com/7424/11219118985_52bbca0e41_b.jpg
190,1770,london,1,http://farm3.staticflickr.com/2867/11219134544_4a0e18728d_b.jpg
191,1770,london,1,http://farm4.staticflickr.com/3710/11219141525_57d846af59_b.jpg
192,1770,w. griffin,1,http://farm3.staticflickr.com/2826/11219155866_b84d85267b_b.jpg
193,1770,geneve,1,http://farm3.staticflickr.com/2892/11219154356_c5d4ee74ab_b.jpg
194,1770,london,1,http://farm3.staticflickr.com/2862/11219133065_b420a62c07_b.jpg
195,1770,geneve,1,http://farm4.staticflickr.com/3785/11219137174_98e9b6dda3_b.jpg
196,1770,london,1,http://farm4.staticflickr.com/3676/11219149826_ebf83d2651_b.jpg
197,1770,london,1,http://farm6.staticflickr.com/5505/11219148275_2b9c52daab_b.jpg
198,1770,geneve,1,http://farm8.staticflickr.com/7364/11219152086_ea5362e683_b.jpg
199,1770,london,1,http://farm4.staticflickr.com/3690/11219157716_352baee606_b.jpg
200,1770,altenburgh,1,http://farm3.staticflickr.com/2862/11219146264_9402a475fc_b.jpg
201,1770,london,1,http://farm3.staticflickr.com/2864/11219137365_0b5f5f1f1e_b.jpg
202,1770,altenburgh,1,http://farm6.staticflickr.com/5528/11219144915_d22f6c93d0_b.jpg
203,1770,dublin,1,http://farm3.staticflickr.com/2870/11219157886_f7f29c5fcd_b.jpg
204,1770,london,1,http://farm8.staticflickr.com/7402/11219149966_8694620b6e_b.jpg
